Region	Time	Type of Visa	NOM Arrivals	NOM Departures	NOM
New South Wales	2006	Temporary visa - Student other	8450	1750	6700
New South Wales	2006	Temporary visa - Temporary work skilled (subclass 457)	8510	4450	4060
New South Wales	2006	Temporary visa - Visitor	15170	6230	8940
New South Wales	2006	Temporary visa - Working Holiday	10010	1450	8560
New South Wales	2006	Temporary visa - Other temporary visas	2460	5310	-2840
New South Wales	2006	Permanent visa - Total	31370	6640	24730
New South Wales	2006	Permanent visa - Family	13470	1910	11560
New South Wales	2006	Permanent visa - Skill	12340	2870	9470
New South Wales	2006	Permanent visa - Special Eligibility and humanitarian	4220	70	4150
New South Wales	2006	Permanent visa - Other permanent visas	1350	1800	-440
New South Wales	2006	New Zealand Citizen (subclass 444)	11070	5590	5470
New South Wales	2006	Australian Citizen	26530	34470	-7940
New South Wales	2006	Other Visas	3340	5370	-2030
New South Wales	2007	Total 	157740	80850	76900
New South Wales	2007	Temporary visa - Total	87480	26110	61370
New South Wales	2007	Temporary visa - Vocational Education and Training sector	12730	2010	10730
New South Wales	2007	Temporary visa - Higher education sector	21560	5060	16500
New South Wales	2007	Temporary visa - Student other	11340	1530	9810
New South Wales	2007	Temporary visa - Temporary work skilled (subclass 457)	10730	4250	6480
New South Wales	2007	Temporary visa - Visitor	16720	5990	10730
New South Wales	2007	Temporary visa - Working Holiday	11870	2210	9660
New South Wales	2007	Temporary visa - Other temporary visas	2530	5070	-2540
New South Wales	2007	Permanent visa - Total	30870	6970	23900
New South Wales	2007	Permanent visa - Family	13470	1990	11490
New South Wales	2007	Permanent visa - Skill	12750	3010	9740
New South Wales	2007	Permanent visa - Special Eligibility and humanitarian	3290	40	3250
New South Wales	2007	Permanent visa - Other permanent visas	1350	1930	-570
New South Wales	2007	New Zealand Citizen (subclass 444)	10950	5090	5850
New South Wales	2007	Australian Citizen	24730	36570	-11840
New South Wales	2007	Other Visas	3730	6110	-2370
New South Wales	2008	Total 	178560	82130	96430
New South Wales	2008	Temporary visa - Total	102570	32500	70080
New South Wales	2008	Temporary visa - Vocational Education and Training sector	17250	2540	14710
New South Wales	2008	Temporary visa - Higher education sector	25210	5790	19420
New South Wales	2008	Temporary visa - Student other	11140	1650	9490
New South Wales	2008	Temporary visa - Temporary work skilled (subclass 457)	12520	4860	7660
New South Wales	2008	Temporary visa - Visitor	20430	9230	11200
New South Wales	2008	Temporary visa - Working Holiday	13840	3200	10640
New South Wales	2008	Temporary visa - Other temporary visas	2190	5230	-3040
New South Wales	2008	Permanent visa - Total	33700	6700	27010
New South Wales	2008	Permanent visa - Family	14460	2010	12450
New South Wales	2008	Permanent visa - Skill	14340	2870	11470
New South Wales	2008	Permanent visa - Special Eligibility and humanitarian	3390	40	3350
New South Wales	2008	Permanent visa - Other permanent visas	1510	1780	-270
New South Wales	2008	New Zealand Citizen (subclass 444)	11410	4760	6650
New South Wales	2008	Australian Citizen	27540	33800	-6260
New South Wales	2008	Other Visas	3330	4370	-1030
New South Wales	2009	Total 	155060	84900	70160
New South Wales	2009	Temporary visa - Total	83030	38270	44760
New South Wales	2009	Temporary visa - Vocational Education and Training sector	14810	3890	10920
New South Wales	2009	Temporary visa - Higher education sector	20490	7410	13080
New South Wales	2009	Temporary visa - Student other	9540	1860	7680
New South Wales	2009	Temporary visa - Temporary work skilled (subclass 457)	7400	5660	1750
New South Wales	2009	Temporary visa - Visitor	16010	10030	5980
New South Wales	2009	Temporary visa - Working Holiday	13100	3560	9540
New South Wales	2009	Temporary visa - Other temporary visas	1690	5870	-4180
New South Wales	2009	Permanent visa - Total	30540	7110	23430
New South Wales	2009	Permanent visa - Family	14220	2110	12110
New South Wales	2009	Permanent visa - Skill	10720	3150	7580
New South Wales	2009	Permanent visa - Special Eligibility and humanitarian	4160	40	4120
New South Wales	2009	Permanent visa - Other permanent visas	1440	1820	-370
New South Wales	2009	New Zealand Citizen (subclass 444)	8990	5070	3920
New South Wales	2009	Australian Citizen	28430	30170	-1730
New South Wales	2009	Other Visas	4070	4270	-200
New South Wales	2010	Total 	141230	91180	50040
New South Wales	2010	Temporary visa - Total	71260	41280	29980
New South Wales	2010	Temporary visa - Vocational Education and Training sector	5810	5600	200
New South Wales	2010	Temporary visa - Higher education sector	16130	9510	6630
New South Wales	2010	Temporary visa - Student other	7590	2140	5460
New South Wales	2010	Temporary visa - Temporary work skilled (subclass 457)	9640	5210	4420
New South Wales	2010	Temporary visa - Visitor	16050	7270	8780
New South Wales	2010	Temporary visa - Working Holiday	14180	4480	9700
New South Wales	2010	Temporary visa - Other temporary visas	1870	7070	-5200
New South Wales	2010	Permanent visa - Total	26740	7340	19400
New South Wales	2010	Permanent visa - Family	13050	2280	10770
New South Wales	2010	Permanent visa - Skill	9770	2920	6850
New South Wales	2010	Permanent visa - Special Eligibility and humanitarian	2410	60	2350
New South Wales	2010	Permanent visa - Other permanent visas	1530	2090	-560
New South Wales	2010	New Zealand Citizen (subclass 444)	10910	4890	6020
New South Wales	2010	Australian Citizen	27940	32800	-4860
New South Wales	2010	Other Visas	4380	4870	-490
New South Wales	2011	Total 	146230	90240	55990
New South Wales	2011	Temporary visa - Total	74120	41600	32530
New South Wales	2011	Temporary visa - Vocational Education and Training sector	4910	4800	110
New South Wales	2011	Temporary visa - Higher education sector	14320	10620	3700
New South Wales	2011	Temporary visa - Student other	7190	2220	4970
New South Wales	2011	Temporary visa - Temporary work skilled (subclass 457)	12250	4840	7410
New South Wales	2011	Temporary visa - Visitor	15980	7500	8480
New South Wales	2011	Temporary visa - Working Holiday	17280	3950	13330
New South Wales	2011	Temporary visa - Other temporary visas	2190	7650	-5460
New South Wales	2011	Permanent visa - Total	26780	6940	19830
New South Wales	2011	Permanent visa - Family	13250	2280	10960
New South Wales	2011	Permanent visa - Skill	9150	2560	6590
New South Wales	2011	Permanent visa - Special Eligibility and humanitarian	2790	50	2750
New South Wales	2011	Permanent visa - Other permanent visas	1590	2050	-460
New South Wales	2011	New Zealand Citizen (subclass 444)	12940	4590	8350
New South Wales	2011	Australian Citizen	28030	32610	-4580
New South Wales	2011	Other Visas	4370	4510	-140
New South Wales	2012	Total 	150100	88190	61910
New South Wales	2012	Temporary visa - Total	79000	40610	38400
New South Wales	2012	Temporary visa - Vocational Education and Training sector	4030	4020	20
New South Wales	2012	Temporary visa - Higher education sector	17350	10020	7330
New South Wales	2012	Temporary visa - Student other	6660	2140	4510
New South Wales	2012	Temporary visa - Temporary work skilled (subclass 457)	13410	5920	7490
New South Wales	2012	Temporary visa - Visitor	17410	6100	11310
New South Wales	2012	Temporary visa - Working Holiday	17790	4720	13080
New South Wales	2012	Temporary visa - Other temporary visas	2350	7690	-5330
New South Wales	2012	Permanent visa - Total	26030	6910	19120
New South Wales	2012	Permanent visa - Family	12980	2250	10730
New South Wales	2012	Permanent visa - Skill	9480	2570	6920
New South Wales	2012	Permanent visa - Special Eligibility and humanitarian	1860	80	1780
New South Wales	2012	Permanent visa - Other permanent visas	1720	2020	-290
New South Wales	2012	New Zealand Citizen (subclass 444)	12760	4910	7850
New South Wales	2012	Australian Citizen	28540	31500	-2950
New South Wales	2012	Other Visas	3770	4270	-500
New South Wales	2013	Total 	162250	95430	66830
New South Wales	2013	Temporary visa - Total	90270	45170	45110
New South Wales	2013	Temporary visa - Vocational Education and Training sector	4070	3830	240
New South Wales	2013	Temporary visa - Higher education sector	23780	8800	14970
New South Wales	2013	Temporary visa - Student other	7690	2470	5220
New South Wales	2013	Temporary visa - Temporary work skilled (subclass 457)	12730	6680	6050
New South Wales	2013	Temporary visa - Visitor	20510	8810	11700
New South Wales	2013	Temporary visa - Working Holiday	18710	5850	12870
New South Wales	2013	Temporary visa - Other temporary visas	2780	8720	-5930
New South Wales	2013	Permanent visa - Total	30520	6710	23800
New South Wales	2013	Permanent visa - Family	14190	2170	12020
New South Wales	2013	Permanent visa - Skill	9910	2370	7540
New South Wales	2013	Permanent visa - Special Eligibility and humanitarian	4420	80	4350
New South Wales	2013	Permanent visa - Other permanent visas	1990	2100	-100
New South Wales	2013	New Zealand Citizen (subclass 444)	10860	5890	4980
New South Wales	2013	Australian Citizen	27620	33230	-5610
New South Wales	2013	Other Visas	2990	4430	-1430
Victoria	2004	Total 	84780	45710	39080
Victoria	2004	Temporary visa - Total	39650	13440	26200
Victoria	2004	Temporary visa - Vocational Education and Training sector	2290	670	1620
Victoria	2004	Temporary visa - Higher education sector	9420	2240	7190
Victoria	2004	Temporary visa - Student other	12770	2650	10120
Victoria	2004	Temporary visa - Temporary work skilled (subclass 457)	4400	1570	2830
Victoria	2004	Temporary visa - Visitor	7470	2950	4520
Victoria	2004	Temporary visa - Working Holiday	1700	440	1260
Victoria	2004	Temporary visa - Other temporary visas	1590	2920	-1320
Victoria	2004	Permanent visa - Total	21510	4560	16950
Victoria	2004	Permanent visa - Family	7770	960	6810
Victoria	2004	Permanent visa - Skill	9360	2140	7220
Victoria	2004	Permanent visa - Special Eligibility and humanitarian	3500	70	3420
Victoria	2004	Permanent visa - Other permanent visas	880	1390	-500
Victoria	2004	New Zealand Citizen (subclass 444)	6760	3010	3750
Victoria	2004	Australian Citizen	15760	23150	-7390
Victoria	2004	Other Visas	1110	1550	-430
Victoria	2005	Total 	85370	45200	40170
Victoria	2005	Temporary visa - Total	36280	14800	21490
Victoria	2005	Temporary visa - Vocational Education and Training sector	2780	700	2090
Victoria	2005	Temporary visa - Higher education sector	12650	3710	8940
Victoria	2005	Temporary visa - Student other	5320	2540	2780
Victoria	2005	Temporary visa - Temporary work skilled (subclass 457)	4540	1880	2670
Victoria	2005	Temporary visa - Visitor	7440	2810	4640
Victoria	2005	Temporary visa - Working Holiday	2030	470	1560
Victoria	2005	Temporary visa - Other temporary visas	1520	2710	-1190
Victoria	2005	Permanent visa - Total	22790	4080	18710
Victoria	2005	Permanent visa - Family	8300	900	7390
Victoria	2005	Permanent visa - Skill	10110	1940	8170
Victoria	2005	Permanent visa - Special Eligibility and humanitarian	3480	80	3400
Victoria	2005	Permanent visa - Other permanent visas	910	1160	-250
Victoria	2005	New Zealand Citizen (subclass 444)	7070	3090	3980
Victoria	2005	Australian Citizen	17460	20970	-3500
Victoria	2005	Other Visas	1780	2280	-490
Victoria	2006	Total 	97900	45550	52350
Victoria	2006	Temporary visa - Total	45890	14660	31230
Victoria	2006	Temporary visa - Vocational Education and Training sector	4900	650	4250
Victoria	2006	Temporary visa - Higher education sector	16950	4700	12250
Victoria	2006	Temporary visa - Student other	6090	1670	4430
Victoria	2006	Temporary visa - Temporary work skilled (subclass 457)	6470	2050	4430
Victoria	2006	Temporary visa - Visitor	7580	2500	5080
Victoria	2006	Temporary visa - Working Holiday	2640	510	2140
Victoria	2006	Temporary visa - Other temporary visas	1260	2610	-1340
Victoria	2006	Permanent visa - Total	24730	4190	20540
Victoria	2006	Permanent visa - Family	8390	1010	7380
Victoria	2006	Permanent visa - Skill	11920	2000	9930
Victoria	2006	Permanent visa - Special Eligibility and humanitarian	3560	30	3530
Victoria	2006	Permanent visa - Other permanent visas	860	1160	-290
Victoria	2006	New Zealand Citizen (subclass 444)	7740	2800	4950
Victoria	2006	Australian Citizen	17530	21830	-4300
Victoria	2006	Other Visas	2010	2080	-70
Victoria	2007	Total 	114620	48150	66470
Victoria	2007	Temporary visa - Total	61120	15370	45750
Victoria	2007	Temporary visa - Vocational Education and Training sector	8230	720	7510
Victoria	2007	Temporary visa - Higher education sector	24540	4520	20020
Victoria	2007	Temporary visa - Student other	7270	1700	5560
Victoria	2007	Temporary visa - Temporary work skilled (subclass 457)	7780	2400	5370
Victoria	2007	Temporary visa - Visitor	8530	2570	5960
Victoria	2007	Temporary visa - Working Holiday	3480	910	2570
Victoria	2007	Temporary visa - Other temporary visas	1300	2550	-1240
Victoria	2007	Permanent visa - Total	25830	4370	21460
Victoria	2007	Permanent visa - Family	9120	1100	8010
Victoria	2007	Permanent visa - Skill	12820	2100	10720
Victoria	2007	Permanent visa - Special Eligibility and humanitarian	3020	20	3000
Victoria	2007	Permanent visa - Other permanent visas	880	1150	-260
Victoria	2007	New Zealand Citizen (subclass 444)	8790	2960	5830
Victoria	2007	Australian Citizen	16670	23000	-6320
Victoria	2007	Other Visas	2220	2460	-240
Victoria	2008	Total 	133000	49770	83230
Victoria	2008	Temporary visa - Total	74250	18790	55450
Victoria	2008	Temporary visa - Vocational Education and Training sector	13830	890	12940
Victoria	2008	Temporary visa - Higher education sector	28110	5250	22860
Victoria	2008	Temporary visa - Student other	7160	1760	5400
Victoria	2008	Temporary visa - Temporary work skilled (subclass 457)	9190	2750	6440
Victoria	2008	Temporary visa - Visitor	10060	3890	6170
Victoria	2008	Temporary visa - Working Holiday	4460	1330	3120
Victoria	2008	Temporary visa - Other temporary visas	1450	2920	-1470
Victoria	2008	Permanent visa - Total	28700	4280	24420
Victoria	2008	Permanent visa - Family	9610	1150	8460
Victoria	2008	Permanent visa - Skill	15180	1910	13270
Victoria	2008	Permanent visa - Special Eligibility and humanitarian	2870	30	2840
Victoria	2008	Permanent visa - Other permanent visas	1040	1190	-150
Victoria	2008	New Zealand Citizen (subclass 444)	9230	2880	6350
Victoria	2008	Australian Citizen	18700	21290	-2590
